id,event_datetime,username,event_description
286,2024-03-16 02:49:16,admin,неверный пароль
287,2024-03-16 02:49:17,admin,неверный пароль
288,2024-03-16 02:49:17,admin,заблокирован
289,2024-03-16 02:49:17,admin,пользователь заблокирован на 30 секунд
290,2024-03-16 02:49:19,admin,заблокирован
291,2024-03-16 02:49:19,admin,пользователь заблокирован на 30 секунд
292,2024-03-16 02:49:20,admin,заблокирован
293,2024-03-16 02:49:20,admin,пользователь заблокирован на 30 секунд
294,2024-03-16 02:50:04,admin,авторизован с правами
295,2024-03-16 02:51:14,admin,неверный пароль
296,2024-03-16 02:51:16,admin,неверный пароль
297,2024-03-16 02:51:17,admin,неверный пароль
298,2024-03-16 02:51:17,admin,заблокирован
299,2024-03-16 02:51:17,admin,пользователь заблокирован на 30 секунд
300,2024-03-16 02:51:18,admin,заблокирован
301,2024-03-16 02:51:18,admin,пользователь заблокирован на 30 секунд
302,2024-03-16 02:51:19,admin,заблокирован
303,2024-03-16 02:51:19,admin,пользователь заблокирован на 30 секунд
304,2024-03-16 02:52:03,admin,авторизован с правами
305,2024-03-16 02:52:04,admin,вышел
306,2024-03-16 02:52:08,1,авторизован
307,2024-03-16 02:52:09,1,вышел
308,2024-03-16 02:52:27,user21,заблокирован
309,2024-03-16 02:52:27,user21,пользователь заблокирован на 30 секунд
310,2024-03-16 02:53:11,user21,авторизован
311,2024-03-16 02:53:13,user21,вышел
312,2024-03-16 02:53:49,admin,авторизован с правами
313,2024-03-16 02:54:19,admin,вышел
314,2024-03-16 02:54:23,admin,неверный пароль
315,2024-03-16 02:54:24,admin,неверный пароль
316,2024-03-16 02:54:25,admin,неверный пароль
317,2024-03-16 02:54:25,admin,заблокирован
318,2024-03-16 02:54:26,admin,пользователь заблокирован на 30 секунд
319,2024-03-16 02:56:26,admin,авторизован с правами
320,2024-03-16 02:56:28,admin,вышел
321,2024-03-16 02:56:31,admin,неверный пароль
322,2024-03-16 02:56:32,admin,неверный пароль
323,2024-03-16 02:56:33,admin,неверный пароль
324,2024-03-16 02:56:33,admin,заблокирован
325,2024-03-16 02:56:34,admin,пользователь заблокирован на 30 секунд
326,2024-03-16 02:56:38,admin,неверный пароль
327,2024-03-16 02:56:38,admin,заблокирован
328,2024-03-16 02:56:38,admin,пользователь заблокирован на 30 секунд
329,2024-03-16 02:56:39,admin,заблокирован
330,2024-03-16 02:56:39,admin,пользователь заблокирован на 30 секунд
331,2024-03-16 03:05:40,admin,авторизован с правами
332,2024-03-16 03:57:57,admin,вышел
333,2024-03-16 03:57:59,admin,авторизован с правами
334,2024-03-16 03:58:00,admin,вышел
335,2024-03-16 03:58:03,admin,неверный пароль
336,2024-03-16 03:58:05,admin,неверный пароль
337,2024-03-16 03:58:06,admin,неверный пароль
338,2024-03-16 03:58:06,admin,заблокирован
339,2024-03-16 03:58:06,admin,пользователь заблокирован на 30 секунд
340,2024-03-16 03:59:20,admin,авторизован с правами
341,2024-03-16 03:59:22,admin,вышел
342,2024-03-16 03:59:29,33333,пользователь зарегистрирован
343,2024-03-16 03:59:36,33333,вышел
344,2024-03-16 03:59:40,qwerty,авторизован
345,2024-03-16 03:59:53,qwerty,вышел
346,2024-03-16 03:59:59,admin,авторизован с правами
347,2024-03-16 10:49:13,admin,авторизован с правами
348,2024-03-16 10:50:41,admin,вышел
349,2024-03-16 10:50:50,admin,неверный пароль
350,2024-03-16 10:50:52,admin,неверный пароль
